num_sutures,loss,closure loss,shear loss,var loss,ideal loss,var loss - center,var loss - ins/ext
53.0,4330.177385284381,1.9307307694450304,665.076627541362,,459.36947686236783,111.54743939112987,270.47337368653297
54.0,5032.957478644661,42.745303036522586,477.3419166168934,,521.9198479312023,118.85166033671902,299.5246101066324
49.0,7838.368504167154,61.034384038305895,999.812938387114,,742.8412317106208,168.02155806259523,433.63270831261093
52.0,7933.381763008608,173.59064665327818,517.6900023906645,,635.6883254116808,118.16980442699914,334.6918620062876
51.0,8184.7599642399055,170.1223811417767,635.1331997922696,,558.9844332766935,125.27966658452456,334.7816571342562
50.0,8664.706588211728,111.76593922435606,543.5792634415951,,830.8032520708209,209.60636212036246,471.15882189951105
45.0,9838.05822417752,188.35075348180789,681.154480214258,,811.2717078063603,171.14391092448173,442.5012105031773
47.0,10522.247465593111,307.64452185755067,470.0743854479218,,557.3367999256676,126.90159610529321,317.7315173804557
48.0,10613.788566650066,383.62206744123824,403.3284116123489,,365.0685447542284,75.94221255424843,203.89730732493723
44.0,12022.830107904472,331.892108960366,429.75003363125745,,777.5475346250623,169.60433014067604,415.03931662442096
43.0,13820.985960895106,405.87480877169,636.1449358207591,,882.3518338533163,166.86321597922012,404.8068870115244
46.0,14375.225931291998,514.7196880079539,438.29034576784625,,589.4044991620017,113.6811205392904,306.679672187624
40.0,15612.874190764114,552.1700766813781,351.70694171312294,,855.387168751442,142.25979137624282,359.8235461992319
41.0,17131.84437112432,623.1387310177378,474.02031852646076,,649.8543434503379,141.24078503372778,337.6899488853183
42.0,22129.569396998464,891.199642135664,237.81807695872615,,785.7741865862944,141.22988273331305,355.8636345946623
